medium,total_n,has_bodyshaming_n,has_bodyshaming_p,has_nonsex_comments_n,has_nonsex_comments_p,has_sexual_comments_n,has_sexual_comments_p,has_violent_threats_n,has_violent_threats_p,has_doxxing_n,has_doxxing_p,has_misinfo_slander_n,has_misinfo_slander_p,has_ethn_race_religion_n,has_ethn_race_religion_p,has_wiretapping_hacking_n,has_wiretapping_hacking_p
Online,625,288,0.4608,324,0.5184,217,0.3472,100,0.16,99,0.1584,180,0.288,154,0.2464,81,0.1296
Print,255,117,0.4588235294117647,113,0.44313725490196076,78,0.3058823529411765,49,0.19215686274509805,39,0.15294117647058825,55,0.21568627450980393,51,0.2,33,0.12941176470588237
TV,162,77,0.47530864197530864,86,0.5308641975308642,67,0.41358024691358025,16,0.09876543209876543,35,0.21604938271604937,50,0.30864197530864196,34,0.20987654320987653,25,0.15432098765432098
Radio,143,53,0.3706293706293706,42,0.2937062937062937,35,0.24475524475524477,13,0.09090909090909091,13,0.09090909090909091,36,0.2517482517482518,20,0.13986013986013987,12,0.08391608391608392
Cross-platform,71,30,0.4225352112676056,35,0.49295774647887325,27,0.38028169014084506,16,0.22535211267605634,11,0.15492957746478872,26,0.36619718309859156,15,0.2112676056338028,16,0.22535211267605634
